project	issue_key	issue_type	summary	description	label
SERVER	SERVER-51696	Task	"Write unit/integration tests to verify correctness of the Resharding commit step "		Not Design
SERVER	SERVER-51633	Task	"Support json schema match expression $_internalSchemaBinDataSubType"		Not Design
JRASERVER	JRASERVER-71629	Bug	Quick Edit mode screen is lost in Kanban View	"h3. Issue Summary  quick edit mode screen is lost    h3. Steps to Reproduce    # Navigate to Backlog in Kanban board   # Click on any card from the backlog a side window opens up with the issue detail.  # Edit the description in the quick view   # Write some text  # Insert an image  # Try to colorize the text  # The Edit window disappears and the newly added text is lost  # The image gets added into attachment section.     This behavior is not observed when the issue is edited through scrum board     h3. Expected Results  Description field should allow the colorizing the text after adding the attachment.    h3. Actual Results  The edit screen is lost and only the attachment gets added       h3. Workaround   Currently there is no known workaround for this behavior. A workaround will be added here when available"	Not Design
TIMOB	TIMOB-24552	New Feature	iOS: Add support for iOS simulator device type property	"{quote}As a developer,  I want to know which iOS simulator device type is being used,  So that I can use this information for app logic and testing.{quote}    I would prefer that Platform.model returned the device type and have a Platform.isSimulator property.   I realize this would be a breaking change so adding an additional property such as Platform.simulatorModel might be a safer option.      "	Design
DM	DM-27120	Story	ATPtg Telemetry: IDL_Type field is omitted for three attributes	"The ATPtg_Telemetry.xml file omits the <IDL_Type> field for three attributes: [mountAzError, mountElError, mountRotError].  These are required fields."	Not Design
TIMOB	TIMOB-28167	Bug	Android: ListViewItem does not activate ripple effect from child views	"- Pressing on a child view within {{ListViewItem}} does not active the row ripple effect.    *TEST*      *EXPECTED*  - {{ListViewItem}} shows ripple effect anywhere the row is tapped, including child views.    *ACTUAL*  - {{ListViewItem}} does not display ripple effect when child view is tapped."	Design
FAB	FAB-17592	Story	Implement function that removes an orderer endpoint	"As a fabric administrator, I want to use a fit-for-purpose library that can modify an existing channel configuration to remove an orderer endpoint from an orderer org's config group.    Acceptance:   Starting with an existing Config block/transaction, I can call a function that removes an orderer endpoint from the configuration. After performing that operation, I can compute a ConfigUpdate transaction that is ready for a signature workflow. An appropriate example should also be added to the example test that demonstrates this behavior."	Design
NEXUS	NEXUS-25528	Improvement	Artifacthub Metadata for helm repositories	"It would be very nice if we could upload an [artifacthub-repo.yml|https://github.com/artifacthub/hub/blob/master/docs/metadata/artifacthub-repo.yml] file to a helm repository, so we can link a Nexus helm repository to [ArtifactHub|https://artifacthub.io/].    [ArtifactHub Documentation|https://github.com/artifacthub/hub/blob/master/docs/repositories.md#helm-charts-repositories]"	Design
DNN	DNN-10526	Improvement	SI: Azure connector should allow to specify a endpoint suffix	"Currently, we don't specify the endpoint when connecting to Azure account so it'll use default endpoint - ""blob.core.windows.net"". We should allow the user to specify the endpoint suffix or there will be error messages as the screenshot.     !schot1.png|width=1000! "	Design
NEXUS	NEXUS-25035	Improvement	audited remoteconnectionstatusevent does not include repository status	"When a proxy repository remote status changes, and Auditing is enabled. an event is recorded inside the audit.log:    Examples:      The events are missing what the status of the proxy repository was changed to and from. This information is only available inside the nexus.log.    {quote}  2020-08-24 14:30:47,821+0000 INFO  [qtp394429141-34093]  admin org.sonatype.nexus.repository.httpclient.internal.HttpClientCustomConfigFacetImpl - Repository status for atlassian-maven changed from *AVAILABLE* to *AUTO_BLOCKED_UNAVAILABLE* until 2020-08-24T14:31:27.821Z - reason Unauthorized for https://packages.atlassian.com    2020-08-24 15:25:48,410+0000 INFO  [qtp394429141-38291]  admin org.sonatype.nexus.repository.httpclient.internal.HttpClientCustomConfigFacetImpl - Repository status for atlassian-maven changed from *AVAILABLE* to *UNAVAILABLE* - reason Unauthorized for https://packages.atlassian.com  {quote}    h4. Expected    Record the before and after status of the repo remoteconnectionstatusevent in the audit.log with the log entry.  "	Design
SERVER	SERVER-51794	Bug	"collStats should consider index visibility in relation to its snapshot"	"""The collStats command includes information about in-progress index builds in its results. It compares the in-memory state from the IndexCatalog with the on-disk state using the DurableCatalog interface to see if [an index is available for queries|https://github.com/mongodb/mongo/blob/306f04029f01d3bfb7bc565fb2139862daa57397/src/mongo/db/stats/storage_stats.cpp#L126] or it is still building.    The current collStats implementation does not determine if an index is visible in the current snapshot before querying the on-disk state. A similar issue affecting $indexStats was discussed and subsequently addressed in SERVER-51133."""	Not Design
JRASERVER	JRASERVER-71669	Suggestion	It is difficult to identify and correct errors.	"If errors occur in the application, error messages are displayed. Some problems arise for partially sighted and blind users:   ▪ Blind users can hardly perceive the messages because they are not in the label of the form fields and are therefore not output by the screen reader in form mode.   ▪ In addition, these are implemented like help texts behind the element concerned and are only highlighted in color. Visually impaired users with color ametropia will have problems recognizing the message. The color adjustment will also not be visible in the contrast adjustment.   ▪ When editing an issue, the problem arises that incorrect data is deleted without the user becoming aware of it. If, for example, a sprint name that does not exist is entered and the user submits the form (""update""), this is saved and the value is removed. This means that users will not recognize errors and will enter incomplete data.     "	Design
TIMOB	TIMOB-28029	Improvement	CLI: Add booted status to the info output for Android emulators and iOS simulators	"h5.Description    To support attach requests in VS Code we need to be able detect what emulators and simulator are currently in a booted state.    Android: (perf concerns), need to call the isRunning function in avd to status when pulling the information together  iOS: Copy the {{device.state}} property onto the iOS simulator object [here|https://github.com/<USER>ioslib/blob/51030c67ce595dd0733d9b8d94eabca9884d861d/lib/simulator.js#L320-L341]"	Design
